,NAESX,VBIIX,VBILX,VBIMX,VBIPX,VBIRX,VBISX,VBITX,VBIUX,VBLIX,VBLLX,VBLTX,VBMFX,VBMPX,VBTIX,VBTLX,VCDAX,VCSAX,VDADX,VDAIX,VDIPX,VDVIX,VEIEX,VEMAX,VEMIX,VEMPX,VEMRX,VENAX,VESIX,VEUPX,VEURX,VEUSX,VEXAX,VEXMX,VFAIX,VFIAX,VFINX,VFSNX,VFSVX,VFTNX,VFTSX,VFWAX,VFWIX,VFWPX,VFWSX,VGAVX,VGIVX,VGOVX,VGRLX,VGRNX,VGSIX,VGSLX,VGSNX,VGTSX,VGXRX,VHCIX,VHDYX,VICBX,VICSX,VIEIX,VIGAX,VIGIX,VIGRX,VIIGX,VIIIX,VIMAX,VIMSX,VINAX,VINIX,VISGX,VISVX,VITAX,VITNX,VITPX,VITSX,VIVAX,VIVIX,VLACX,VLCAX,VLCIX,VLGIX,VLGSX,VLISX,VLTCX,VMBIX,VMBSX,VMCIX,VMCPX,VMCTX,VMFGX,VMFVX,VMGAX,VMGIX,VMGMX,VMIAX,VMVAX,VMVIX,VMVLX,VPACX,VPADX,VPAPX,VPKIX,VRGWX,VRNIX,VRTGX,VRTIX,VRTTX,VRTVX,VRVIX,VSBIX,VSBSX,VSCIX,VSCPX,VSCSX,VSGAX,VSGIX,VSGNX,VSIAX,VSIGX,VSIIX,VSMAX,VSMSX,VSMVX,VSPGX,VSPMX,VSPVX,VSTBX,VTABX,VTAPX,VTCAX,VTCIX,VTCLX,VTIAX,VTIBX,VTIFX,VTIPX,VTMGX,VTMNX,VTMSX,VTPSX,VTSAX,VTSIX,VTSMX,VTSNX,VTSPX,VTWIX,VTWSX,VUIAX,VVIAX
2012-01-03,32.87,10.46,10.43,10.42,10.13,10.15,10.17,10.14,10.42,12.01,12.01,12.06,10.15,10.11,10.11,10.12,31.54,38.2,,20.91,,,23.11,30.21,22.95,95.58,76.31,49.9,20.62,91.21,20.86,48.38,38.76,38.88,13.41,111.19,111.56,141.94,28.5,7.3,7.32,23.21,14.79,77.8,73.51,,,,22.6,75.23,17.58,74.73,11.56,12.39,14.98,30.13,16.69,24.44,19.79,38.74,31.08,31.07,31.22,25.89,110.37,87.87,19.43,31.51,110.42,21.43,14.65,31.19,27.24,27.23,30.1,19.49,19.4,22.36,27.85,24.81,29.09,22.94,114.58,20.0,27.03,19.91,19.4,95.66,81.27,118.57,111.59,93.17,23.48,25.64,36.93,26.13,19.91,71.67,8.63,55.77,90.13,8.53,110.64,106.85,115.47,110.62,107.14,108.78,103.38,25.22,20.08,32.78,94.59,19.88,26.72,21.39,129.5,26.2,20.89,14.63,32.8,122.06,123.26,123.3,115.42,115.41,24.32,,,29.68,30.39,61.2,20.68,,,,9.24,9.24,27.03,82.6,30.1,27.07,30.19,82.64,,84.09,16.84,34.28,19.41
2012-01-04,32.7,10.44,10.42,10.41,10.13,10.15,10.17,10.14,10.4,11.9,11.91,11.95,10.14,10.1,10.1,10.11,31.73,38.1,,20.91,,,23.05,30.13,22.89,95.19,76.1,50.01,20.4,90.23,20.64,47.87,38.61,38.72,13.35,111.24,111.6,141.73,28.45,7.29,7.31,23.12,14.73,77.49,73.21,,,,22.57,75.13,17.28,73.43,11.36,12.35,14.96,29.96,16.68,24.42,19.77,38.59,31.13,31.11,31.25,25.87,110.41,87.82,19.42,31.64,110.46,21.3,14.59,31.2,27.23,27.22,30.09,19.48,19.38,22.37,27.85,24.65,28.82,22.72,114.61,19.87,27.03,19.92,19.4,95.61,81.31,118.21,111.35,93.3,23.51,25.66,37.17,26.08,19.88,71.64,8.68,56.11,90.67,8.57,110.71,106.87,114.68,109.89,107.1,108.1,103.34,25.22,20.08,32.6,94.08,19.89,26.55,21.26,128.49,26.08,20.87,14.57,32.62,121.17,122.45,123.34,115.11,115.46,24.33,,,29.32,30.41,61.24,20.61,,,,9.19,9.2,26.83,82.31,30.09,26.86,30.18,82.33,,83.88,16.81,34.07,19.4
2012-01-05,32.93,10.44,10.42,10.41,10.13,10.15,10.17,10.14,10.4,11.89,11.89,11.94,10.13,10.09,10.09,10.1,31.98,38.05,,20.89,,,22.97,30.03,22.81,95.92,75.86,49.76,20.03,88.62,20.27,47.01,38.9,39.02,13.52,111.56,111.93,140.34,28.18,7.33,7.35,22.84,14.56,76.57,72.36,,,,22.37,74.46,17.46,74.23,11.48,12.2,14.82,30.08,16.68,24.41,19.77,38.89,31.24,31.22,31.36,25.87,110.74,88.49,19.56,31.68,110.79,21.46,14.69,31.41,27.34,27.33,30.21,19.54,19.46,22.45,27.96,24.64,28.76,22.69,115.02,19.86,27.02,19.9,19.54,96.33,81.53,119.14,112.01,93.52,23.7,25.88,37.22,26.26,20.01,71.86,8.58,55.44,89.6,8.47,111.05,107.25,115.54,110.62,107.51,108.74,103.76,25.22,20.09,32.84,94.75,19.9,26.76,21.42,129.37,26.25,20.87,14.66,32.85,122.05,123.38,123.57,115.9,115.95,24.34,,,29.08,30.52,61.47,20.37,,,,9.05,9.05,27.02,81.34,30.21,27.06,30.3,81.38,,83.5,16.73,34.11,19.46
2012-01-06,32.87,10.47,10.44,10.43,10.14,10.16,10.18,10.15,10.43,11.95,11.96,12.01,10.15,10.11,10.11,10.12,32.01,37.81,,20.82,,,22.77,29.76,22.6,95.85,75.15,49.49,19.85,87.79,20.08,46.57,38.87,38.99,13.46,111.32,111.69,139.45,28.0,7.32,7.34,22.63,14.42,75.86,71.67,,,,22.2,73.89,17.38,73.87,11.42,12.09,14.72,30.15,16.63,24.49,19.83,38.86,31.22,31.21,31.34,25.92,110.5,88.4,19.54,31.65,110.55,21.42,14.66,31.44,27.28,27.28,30.16,19.48,19.39,22.41,27.9,24.79,28.95,22.83,114.8,19.98,27.05,19.93,19.52,96.23,81.36,119.11,112.01,93.47,23.69,25.87,37.23,26.22,19.98,71.6,8.5,54.9,88.73,8.4,110.95,107.06,115.21,110.25,107.3,108.31,103.49,25.23,20.09,32.79,94.6,19.92,26.7,21.38,129.05,26.21,20.91,14.64,32.8,121.67,122.92,123.35,115.89,115.65,24.38,,,29.05,30.47,61.36,20.18,,,,8.96,8.97,26.93,80.61,30.15,26.97,30.24,80.64,,83.03,16.64,33.91,19.4
2012-01-09,33.03,10.48,10.45,10.44,10.14,10.16,10.18,10.15,10.44,11.95,11.96,12.01,10.16,10.12,10.12,10.13,32.05,37.88,,20.86,,,22.93,29.97,22.77,96.33,75.7,49.7,19.89,87.98,20.12,46.67,39.06,39.18,13.52,111.58,111.94,139.9,28.09,7.34,7.35,22.7,14.47,76.12,71.92,,,,22.25,74.07,17.34,73.68,11.4,12.13,14.75,30.22,16.67,24.53,19.86,39.05,31.25,31.24,31.37,25.94,110.75,88.68,19.6,31.89,110.8,21.52,14.73,31.42,27.36,27.35,30.23,19.56,19.48,22.46,27.98,24.8,28.92,22.8,115.09,19.99,27.09,19.95,19.58,96.54,81.54,119.86,112.55,93.49,23.79,25.98,37.28,26.27,20.02,71.91,8.5,54.97,88.84,8.41,111.06,107.33,115.93,110.81,107.61,108.74,103.91,25.23,20.09,32.93,95.03,19.94,26.84,21.49,129.47,26.33,20.92,14.71,32.95,122.09,123.37,123.4,116.54,116.17,24.39,,,29.08,30.54,61.51,20.25,,,,8.98,8.98,27.03,80.87,30.24,27.07,30.32,80.91,,83.28,16.68,33.96,19.48
2012-01-10,33.46,10.47,10.44,10.43,10.14,10.16,10.18,10.15,10.43,11.95,11.95,12.0,10.15,10.11,10.11,10.12,32.31,38.04,,21.01,,,23.39,30.56,23.22,97.62,77.19,50.14,20.18,89.29,20.42,47.37,39.59,39.71,13.76,112.57,112.93,141.61,28.43,7.42,7.43,23.06,14.7,77.33,73.06,,,,22.59,75.2,17.55,74.62,11.54,12.31,14.97,30.52,16.78,24.54,19.88,39.58,31.53,31.52,31.65,25.92,111.73,89.78,19.85,32.34,111.79,21.8,14.94,31.58,27.62,27.62,30.53,19.75,19.66,22.67,28.23,24.8,28.88,22.78,116.15,19.99,27.05,19.93,19.82,97.73,82.24,121.44,113.94,94.25,24.1,26.31,37.99,26.58,20.25,72.57,8.62,55.73,90.06,8.52,112.04,108.32,117.79,112.46,108.65,110.23,104.94,25.23,20.1,33.38,96.3,19.95,27.17,21.75,131.14,26.7,20.91,14.92,33.39,123.82,125.29,124.28,118.04,117.45,24.41,,,29.3,30.83,62.11,20.55,,,,9.11,9.11,27.41,82.09,30.53,27.45,30.62,82.12,,84.35,16.9,34.01,19.67
2012-01-11,33.59,10.51,10.48,10.47,10.15,10.17,10.19,10.16,10.46,12.05,12.06,12.1,10.18,10.14,10.14,10.15,32.41,37.82,,20.94,,,23.38,30.55,23.21,98.03,77.19,49.45,20.03,88.63,20.27,47.0,39.76,39.87,13.88,112.61,112.98,141.6,28.43,7.44,7.45,22.99,14.65,77.08,72.83,,,,22.6,75.24,17.65,75.03,11.6,12.27,14.98,30.57,16.76,24.64,19.95,39.74,31.52,31.51,31.64,25.99,111.78,89.91,19.88,32.47,111.83,21.89,14.99,31.69,27.66,27.65,30.57,19.79,19.7,22.68,28.25,25.0,29.19,23.02,116.24,20.15,27.08,19.95,19.85,97.89,82.3,121.65,114.37,94.22,24.08,26.29,38.34,26.68,20.33,72.68,8.63,55.78,90.15,8.53,111.99,108.43,118.19,112.84,108.77,110.6,105.17,25.24,20.1,33.5,96.66,19.97,27.28,21.84,131.29,26.79,20.97,14.97,33.51,124.14,125.82,124.05,118.35,117.8,24.43,,,29.5,30.86,62.16,20.49,,,,9.07,9.07,27.49,81.85,30.57,27.53,30.66,81.87,,84.25,16.88,33.88,19.71
2012-01-12,33.71,10.5,10.47,10.46,10.15,10.17,10.19,10.16,10.45,12.04,12.05,12.09,10.18,10.14,10.14,10.15,32.56,37.84,,20.95,,,23.5,30.72,23.33,98.47,77.58,49.04,20.19,89.33,20.43,47.39,39.94,40.06,13.91,112.88,113.25,142.51,28.61,7.48,7.49,23.1,14.73,77.45,73.18,,,,22.76,75.76,17.53,74.48,11.52,12.33,15.09,30.62,16.79,24.63,19.95,39.92,31.62,31.6,31.75,25.97,112.04,90.32,19.96,32.75,112.1,21.97,15.04,31.83,27.74,27.72,30.65,19.83,19.74,22.74,28.33,24.98,29.16,23.0,116.55,20.13,27.1,19.95,19.95,98.33,82.48,122.1,114.48,94.46,24.24,26.47,38.93,26.74,20.39,72.81,8.61,55.64,89.92,8.51,112.33,108.71,118.69,113.32,109.07,111.07,105.4,25.24,20.1,33.62,97.0,19.98,27.4,21.93,131.8,26.87,20.95,15.02,33.63,124.81,126.71,124.26,118.64,118.18,24.44,,,29.75,30.94,62.3,20.59,,,,9.11,9.11,27.64,82.22,30.64,27.67,30.74,82.26,,84.59,16.95,33.81,19.74
2012-01-13,33.44,10.52,10.5,10.49,10.15,10.17,10.19,10.16,10.48,12.12,12.13,12.17,10.2,10.16,10.16,10.17,32.45,37.78,,20.87,,,23.39,30.57,23.22,97.8,77.21,48.74,19.91,88.09,20.14,46.72,39.67,39.78,13.82,112.33,112.69,141.6,28.42,7.43,7.44,22.92,14.61,76.83,72.6,,,,22.71,75.6,17.56,74.65,11.55,12.24,15.05,30.52,16.73,24.69,19.99,39.65,31.47,31.46,31.6,26.02,111.49,89.77,19.84,32.51,111.54,21.81,14.91,31.58,27.59,27.58,30.49,19.72,19.63,22.64,28.19,25.12,29.4,23.18,115.98,20.25,27.12,19.97,19.82,97.72,82.09,121.52,113.57,94.07,24.09,26.3,38.67,26.59,20.26,72.45,8.6,55.56,89.8,8.49,111.86,108.16,117.74,112.4,108.49,110.16,104.77,25.24,20.1,33.36,96.25,20.0,27.19,21.76,130.82,26.66,20.99,14.89,33.37,123.73,125.42,123.83,117.89,117.39,24.46,,,29.58,30.77,61.97,20.42,,,,9.02,9.02,27.4,81.59,30.49,27.44,30.58,81.61,,84.02,16.83,33.74,19.64
2012-01-17,33.52,10.54,10.51,10.5,10.16,10.18,10.2,10.17,10.5,12.16,12.17,12.22,10.21,10.16,10.17,10.17,32.57,37.97,,21.01,,,23.81,31.12,23.64,98.03,78.6,49.09,20.21,89.41,20.45,47.43,39.76,39.87,13.73,112.72,113.08,143.44,28.8,7.45,7.46,23.22,14.8,77.85,73.56,,,,22.99,76.53,17.71,75.28,11.64,12.39,15.24,30.71,16.78,24.75,20.04,39.74,31.66,31.65,31.79,26.05,111.89,89.97,19.89,32.61,111.94,21.87,14.93,31.77,27.68,27.67,30.58,19.74,19.65,22.71,28.29,25.24,29.51,23.28,116.37,20.34,27.11,19.97,19.87,97.95,82.39,122.15,113.61,94.65,24.19,26.42,38.86,26.6,20.27,72.52,8.65,55.91,90.37,8.55,112.54,108.53,118.12,112.59,108.85,110.18,104.85,25.25,20.11,33.43,96.46,20.02,27.27,21.83,131.33,26.69,21.01,14.91,33.45,124.09,125.65,124.56,118.22,117.49,24.49,,,29.57,30.89,62.2,20.69,,,,9.13,9.13,27.48,82.64,30.59,27.52,30.68,82.66,,84.74,16.98,33.77,19.66
