Date,NAESX,VBIIX,VBILX,VBIMX,VBIPX,VBIRX,VBISX,VBITX,VBIUX,VBLIX,VBLLX,VBLTX,VBMFX,VBMPX,VBTIX,VBTLX,VCDAX,VCSAX,VDADX,VDAIX,VDIPX,VDVIX,VEIEX,VEMAX,VEMIX,VEMPX,VEMRX,VENAX,VESIX,VEUPX,VEURX,VEUSX,VEXAX,VEXMX,VFAIX,VFIAX,VFINX,VFSNX,VFSVX,VFTNX,VFTSX,VFWAX,VFWIX,VFWPX,VFWSX,VGAVX,VGIVX,VGOVX,VGRLX,VGRNX,VGSIX,VGSLX,VGSNX,VGTSX,VGXRX,VHCIX,VHDYX,VICBX,VICSX,VIEIX,VIGAX,VIGIX,VIGRX,VIIGX,VIIIX,VIMAX,VIMSX,VINAX,VINIX,VISGX,VISVX,VITAX,VITNX,VITPX,VITSX,VIVAX,VIVIX,VLACX,VLCAX,VLCIX,VLGIX,VLGSX,VLISX,VLTCX,VMBIX,VMBSX,VMCIX,VMCPX,VMCTX,VMFGX,VMFVX,VMGAX,VMGIX,VMGMX,VMIAX,VMVAX,VMVIX,VMVLX,VPACX,VPADX,VPAPX,VPKIX,VRGWX,VRNIX,VRTGX,VRTIX,VRTTX,VRTVX,VRVIX,VSBIX,VSBSX,VSCIX,VSCPX,VSCSX,VSGAX,VSGIX,VSGNX,VSIAX,VSIGX,VSIIX,VSMAX,VSMSX,VSMVX,VSPGX,VSPMX,VSPVX,VSTBX,VTABX,VTAPX,VTCAX,VTCIX,VTCLX,VTIAX,VTIBX,VTIFX,VTIPX,VTMGX,VTMNX,VTMSX,VTPSX,VTSAX,VTSIX,VTSMX,VTSNX,VTSPX,VTWIX,VTWSX,VUIAX,VVIAX
2012-01-03,33.83,11.73,11.73,11.73,10.6,10.6,10.6,10.6,11.73,13.8,13.8,13.8,10.98,10.98,10.98,10.98,32.3,40.18,,22.11,,,24.76,32.52,24.74,98.36,82.28,51.76,22.77,91.94,22.93,53.4,39.86,39.85,14.16,117.59,117.59,152.15,30.4,7.54,7.54,25.25,16.02,84.74,80.02,,,,25.1,83.6,19.41,82.83,12.82,13.43,16.58,30.97,18.09,27.13,21.95,39.85,32.26,32.26,32.27,27.36,116.83,90.18,19.88,32.51,116.82,21.73,15.28,31.91,28.74,28.75,31.77,20.79,20.79,23.51,29.4,28.31,31.7,24.98,120.98,22.8,27.72,20.71,19.92,98.24,86.08,120.38,114.5,96.66,23.72,25.98,38.34,27.05,20.56,76.94,9.25,60.05,90.13,9.19,115.52,112.56,117.2,113.62,112.54,112.59,109.83,25.54,20.32,33.84,97.69,21.08,27.18,21.76,129.5,27.4,22.06,15.31,33.85,125.0,123.26,123.3,117.84,115.41,25.81,,,31.95,31.48,63.35,22.47,,,,10.08,10.09,27.69,89.86,31.77,27.76,31.76,89.85,,89.64,17.89,37.96,20.79
2012-01-04,33.65,11.71,11.71,11.71,10.6,10.6,10.6,10.6,11.71,13.68,13.68,13.68,10.97,10.97,10.97,10.97,32.49,40.08,,22.11,,,24.69,32.43,24.67,97.96,82.05,51.88,22.53,90.96,22.69,52.83,39.7,39.69,14.09,117.64,117.64,151.92,30.35,7.53,7.53,25.15,15.95,84.4,79.69,,,,25.06,83.49,19.08,81.39,12.6,13.39,16.56,30.8,18.08,27.1,21.92,39.69,32.31,32.3,32.31,27.34,116.87,90.13,19.87,32.65,116.87,21.6,15.21,31.92,28.73,28.74,31.76,20.78,20.77,23.52,29.4,28.12,31.4,24.74,121.02,22.65,27.72,20.72,19.91,98.19,86.12,120.01,114.25,96.79,23.75,26.0,38.58,27.0,20.52,76.91,9.31,60.41,90.67,9.24,115.6,112.58,116.4,112.87,112.5,111.88,109.78,25.54,20.32,33.66,97.17,21.09,27.01,21.63,128.49,27.28,22.04,15.24,33.67,124.09,122.45,123.34,117.52,115.46,25.82,,,31.57,31.5,63.39,22.39,,,,10.03,10.04,27.48,89.54,31.76,27.55,31.75,89.52,,89.42,17.85,37.73,20.78
2012-01-05,33.89,11.71,11.71,11.71,10.6,10.6,10.6,10.6,11.71,13.66,13.66,13.66,10.96,10.96,10.96,10.96,32.75,40.02,,22.09,,,24.61,32.33,24.59,98.71,81.79,51.62,22.12,89.33,22.28,51.89,40.0,40.0,14.27,117.98,117.98,150.43,30.06,7.57,7.57,24.85,15.77,83.4,78.76,,,,24.84,82.75,19.28,82.28,12.73,13.23,16.41,30.92,18.08,27.09,21.92,40.0,32.42,32.41,32.42,27.34,117.22,90.82,20.02,32.69,117.21,21.76,15.32,32.13,28.85,28.85,31.88,20.85,20.85,23.6,29.51,28.11,31.34,24.7,121.45,22.64,27.71,20.7,20.06,98.93,86.35,120.95,114.93,97.02,23.94,26.22,38.64,27.19,20.66,77.14,9.2,59.69,89.6,9.13,115.95,112.98,117.27,113.62,112.93,112.54,110.23,25.54,20.33,33.9,97.86,21.1,27.22,21.79,129.37,27.46,22.04,15.34,33.91,124.99,123.38,123.57,118.33,115.95,25.83,,,31.31,31.62,63.63,22.13,,,,9.88,9.88,27.68,88.49,31.88,27.75,31.87,88.48,,89.02,17.77,37.78,20.85
2012-01-06,33.83,11.74,11.74,11.74,10.61,10.61,10.61,10.61,11.74,13.74,13.74,13.74,10.98,10.98,10.98,10.98,32.78,39.77,,22.02,,,24.39,32.03,24.36,98.64,81.03,51.34,21.92,88.5,22.07,51.4,39.97,39.97,14.21,117.73,117.73,149.48,29.87,7.56,7.56,24.62,15.62,82.62,78.01,,,,24.65,82.12,19.19,81.88,12.67,13.11,16.29,30.99,18.03,27.18,21.99,39.97,32.4,32.4,32.4,27.39,116.97,90.73,20.0,32.66,116.96,21.72,15.29,32.16,28.79,28.8,31.83,20.78,20.78,23.56,29.45,28.28,31.54,24.86,121.22,22.78,27.74,20.73,20.04,98.83,86.17,120.92,114.93,96.97,23.93,26.21,38.65,27.15,20.63,76.86,9.11,59.11,88.73,9.05,115.85,112.78,116.94,113.24,112.71,112.1,109.94,25.55,20.33,33.85,97.7,21.13,27.16,21.75,129.05,27.41,22.08,15.32,33.85,124.6,122.92,123.35,118.32,115.65,25.87,,,31.28,31.56,63.52,21.93,,,,9.78,9.79,27.59,87.69,31.82,27.66,31.81,87.68,,88.51,17.67,37.55,20.78
2012-01-09,33.99,11.75,11.75,11.75,10.61,10.61,10.61,10.61,11.75,13.74,13.74,13.74,10.99,10.99,10.99,10.99,32.82,39.85,,22.06,,,24.56,32.26,24.54,99.13,81.62,51.56,21.97,88.69,22.12,51.51,40.17,40.16,14.27,118.0,117.99,149.96,29.96,7.58,7.57,24.7,15.67,82.91,78.29,,,,24.71,82.32,19.14,81.67,12.64,13.15,16.33,31.07,18.07,27.22,22.02,40.17,32.43,32.43,32.43,27.41,117.23,91.01,20.06,32.9,117.23,21.82,15.36,32.14,28.87,28.88,31.91,20.87,20.87,23.61,29.53,28.29,31.51,24.83,121.52,22.79,27.78,20.76,20.1,99.14,86.37,121.68,115.48,96.99,24.03,26.32,38.7,27.2,20.67,77.2,9.12,59.19,88.84,9.06,115.96,113.06,117.67,113.82,113.03,112.54,110.39,25.55,20.33,34.0,98.15,21.15,27.3,21.86,129.47,27.54,22.09,15.39,34.01,125.03,123.37,123.4,118.98,116.17,25.89,,,31.31,31.64,63.67,22.0,,,,9.8,9.81,27.69,87.98,31.91,27.76,31.9,87.97,,88.78,17.72,37.61,20.87
2012-01-10,34.44,11.74,11.74,11.74,10.61,10.61,10.61,10.61,11.74,13.73,13.73,13.73,10.98,10.98,10.98,10.98,33.09,40.01,,22.22,,,25.05,32.9,25.03,100.46,83.23,52.01,22.29,90.01,22.45,52.28,40.71,40.7,14.53,119.05,119.04,151.8,30.33,7.66,7.66,25.09,15.92,84.22,79.53,,,,25.09,83.57,19.38,82.71,12.8,13.35,16.57,31.37,18.19,27.24,22.04,40.71,32.72,32.72,32.72,27.39,118.27,92.14,20.31,33.37,118.27,22.1,15.58,32.31,29.15,29.16,32.22,21.07,21.07,23.83,29.8,28.29,31.47,24.8,122.64,22.79,27.74,20.73,20.35,100.37,87.11,123.29,116.91,97.78,24.35,26.66,39.44,27.52,20.91,77.9,9.24,60.0,90.06,9.18,116.98,114.11,119.55,115.51,114.12,114.09,111.48,25.55,20.34,34.46,99.46,21.16,27.64,22.13,131.14,27.93,22.08,15.61,34.46,126.8,125.29,124.28,120.51,117.45,25.91,,,31.54,31.94,64.29,22.33,,,,9.94,9.95,28.08,89.3,32.22,28.15,32.21,89.29,,89.92,17.95,37.67,21.07
2012-01-11,34.57,11.78,11.78,11.78,10.62,10.62,10.62,10.62,11.78,13.85,13.85,13.85,11.01,11.01,11.01,11.01,33.19,39.78,,22.14,,,25.04,32.89,25.02,100.88,83.22,51.3,22.12,89.34,22.28,51.88,40.88,40.87,14.65,119.09,119.09,151.79,30.33,7.68,7.68,25.01,15.87,83.95,79.28,,,,25.1,83.62,19.49,83.16,12.87,13.31,16.58,31.43,18.17,27.35,22.12,40.88,32.71,32.71,32.71,27.46,118.32,92.28,20.34,33.5,118.32,22.19,15.63,32.42,29.19,29.19,32.26,21.11,21.11,23.85,29.82,28.52,31.81,25.07,122.74,22.97,27.77,20.75,20.38,100.53,87.17,123.5,117.35,97.75,24.33,26.64,39.8,27.62,20.99,78.02,9.25,60.06,90.15,9.19,116.93,114.22,119.96,115.9,114.25,114.47,111.73,25.56,20.34,34.59,99.83,21.18,27.75,22.22,131.29,28.02,22.14,15.66,34.59,127.13,125.82,124.05,120.83,117.8,25.93,,,31.76,31.97,64.34,22.26,,,,9.9,9.9,28.16,89.04,32.26,28.23,32.25,89.02,,89.82,17.93,37.52,21.11
2012-01-12,34.69,11.77,11.77,11.77,10.62,10.62,10.62,10.62,11.77,13.84,13.84,13.84,11.01,11.01,11.01,11.01,33.34,39.8,,22.15,,,25.17,33.07,25.15,101.33,83.65,50.87,22.3,90.05,22.46,52.3,41.07,41.06,14.69,119.38,119.37,152.76,30.52,7.72,7.72,25.13,15.95,84.36,79.66,,,,25.27,84.19,19.35,82.55,12.78,13.37,16.7,31.48,18.2,27.34,22.12,41.06,32.82,32.81,32.82,27.44,118.6,92.7,20.43,33.79,118.6,22.28,15.68,32.56,29.27,29.27,32.35,21.15,21.15,23.91,29.9,28.5,31.77,25.04,123.06,22.95,27.79,20.76,20.48,100.98,87.36,123.96,117.47,98.0,24.49,26.82,40.41,27.69,21.05,78.16,9.23,59.91,89.92,9.17,117.29,114.52,120.47,116.4,114.56,114.96,111.97,25.56,20.34,34.71,100.18,21.19,27.87,22.31,131.8,28.1,22.12,15.71,34.71,127.82,126.71,124.26,121.12,118.18,25.94,,,32.03,32.05,64.49,22.37,,,,9.94,9.95,28.31,89.45,32.34,28.38,32.34,89.44,,90.18,18.0,37.44,21.15
2012-01-13,34.42,11.8,11.8,11.8,10.62,10.62,10.62,10.62,11.8,13.93,13.93,13.93,11.03,11.03,11.03,11.03,33.23,39.74,,22.07,,,25.05,32.91,25.03,100.65,83.25,50.56,21.99,88.8,22.14,51.57,40.79,40.78,14.59,118.79,118.78,151.78,30.32,7.67,7.67,24.93,15.82,83.68,79.02,,,,25.22,84.02,19.39,82.74,12.81,13.27,16.66,31.37,18.14,27.4,22.17,40.78,32.66,32.66,32.67,27.5,118.02,92.13,20.3,33.54,118.01,22.11,15.55,32.31,29.11,29.12,32.18,21.04,21.04,23.8,29.75,28.66,32.03,25.24,122.46,23.08,27.81,20.78,20.35,100.36,86.95,123.37,116.53,97.59,24.34,26.65,40.14,27.53,20.92,77.77,9.22,59.82,89.8,9.15,116.8,113.94,119.5,115.45,113.95,114.01,111.3,25.56,20.34,34.44,99.41,21.21,27.66,22.14,130.82,27.88,22.17,15.58,34.44,126.71,125.42,123.83,120.36,117.39,25.96,,,31.85,31.88,64.15,22.19,,,,9.84,9.85,28.07,88.76,32.18,28.14,32.17,88.74,,89.57,17.88,37.37,21.04
2012-01-17,34.5,11.82,11.82,11.82,10.63,10.63,10.63,10.63,11.82,13.98,13.98,13.98,11.04,11.04,11.04,11.04,33.35,39.94,,22.22,,,25.5,33.5,25.48,100.88,84.75,50.92,22.32,90.13,22.48,52.35,40.88,40.87,14.5,119.21,119.2,153.76,30.72,7.69,7.69,25.26,16.03,84.79,80.07,,,,25.53,85.05,19.55,83.44,12.91,13.44,16.87,31.57,18.19,27.47,22.22,40.88,32.86,32.86,32.86,27.53,118.44,92.34,20.35,33.65,118.43,22.17,15.57,32.5,29.21,29.21,32.28,21.06,21.06,23.88,29.86,28.8,32.16,25.35,122.88,23.19,27.8,20.78,20.4,100.59,87.27,124.01,116.57,98.2,24.44,26.77,40.34,27.54,20.93,77.85,9.28,60.2,90.37,9.21,117.51,114.33,119.89,115.65,114.33,114.04,111.39,25.57,20.35,34.51,99.62,21.23,27.74,22.21,131.33,27.92,22.19,15.6,34.52,127.08,125.65,124.56,120.7,117.49,25.99,,,31.84,32.0,64.39,22.48,,,,9.96,9.97,28.15,89.9,32.28,28.22,32.27,89.88,,90.34,18.03,37.4,21.06
2012-01-18,35.11,11.79,11.79,11.79,10.63,10.63,10.63,10.63,11.79,13.87,13.87,13.87,11.01,11.01,11.01,11.01,33.88,40.03,,22.43,,,25.98,34.12,25.95,102.55,86.32,51.79,22.74,91.84,22.9,53.34,41.56,41.55,14.72,120.55,120.54,156.15,31.2,7.8,7.8,25.68,16.29,86.18,81.38,,,,25.82,86.0,19.69,84.04,13.01,13.66,17.05,31.77,18.31,27.43,22.2,41.55,33.25,33.25,33.25,27.48,119.77,93.73,20.66,34.02,119.76,22.59,15.83,33.1,29.57,29.57,32.68,21.29,21.29,24.15,30.2,28.6,31.86,25.11,124.3,23.04,27.77,20.75,20.7,102.11,88.22,125.72,118.76,99.28,24.84,27.2,40.88,27.92,21.22,78.69,9.38,60.85,91.34,9.31,118.88,115.67,122.07,117.72,115.72,116.06,112.69,25.57,20.34,35.12,101.38,21.23,28.26,22.63,133.18,28.38,22.16,15.86,35.13,129.17,128.04,125.78,122.65,119.01,26.0,,,32.13,32.38,65.17,22.84,,,,10.12,10.13,28.61,91.34,32.68,28.69,32.67,91.33,,91.64,18.29,37.39,21.3
2012-01-19,35.3,11.76,11.76,11.76,10.62,10.62,10.62,10.62,11.76,13.74,13.74,13.74,10.99,10.99,10.99,10.99,34.18,40.11,,22.51,,,26.23,34.46,26.21,103.18,87.17,51.96,23.08,93.18,23.24,54.12,41.81,41.8,14.83,121.15,121.14,157.72,31.51,7.85,7.85,25.96,16.47,87.11,82.26,,,,26.3,87.6,19.77,84.36,13.06,13.8,17.37,31.78,18.36,27.4,22.17,41.81,33.47,33.47,33.47,27.4,120.37,94.41,20.81,34.34,120.36,22.75,15.89,33.36,29.72,29.72,32.85,21.37,21.37,24.28,30.36,28.4,31.47,24.8,124.94,22.87,27.76,20.74,20.85,102.84,88.64,126.89,119.46,99.89,25.06,27.44,40.93,28.08,21.34,78.94,9.43,61.21,91.88,9.37,119.69,116.28,122.82,118.2,116.33,116.27,113.13,25.56,20.34,35.31,101.93,21.25,28.46,22.79,133.84,28.49,22.09,15.92,35.31,129.72,128.5,126.39,123.59,119.62,26.02,,,32.18,32.56,65.52,23.08,,,,10.24,10.25,28.74,92.31,32.85,28.81,32.84,92.29,,92.41,18.44,37.07,21.37
2012-01-20,35.36,11.73,11.73,11.73,10.62,10.62,10.62,10.62,11.73,13.63,13.63,13.63,10.97,10.97,10.97,10.97,33.95,40.19,,22.55,,,26.28,34.51,26.25,103.2,87.32,51.94,23.05,93.07,23.21,54.05,41.82,41.81,14.95,121.23,121.23,158.25,31.62,7.84,7.83,26.03,16.51,87.35,82.48,,,,26.59,88.57,19.92,84.99,13.15,13.84,17.56,31.76,18.45,27.37,22.14,41.81,33.39,33.39,33.39,27.34,120.45,94.16,20.75,34.2,120.44,22.73,15.96,33.46,29.74,29.74,32.87,21.44,21.45,24.29,30.37,28.22,31.16,24.56,125.0,22.73,27.74,20.73,20.8,102.57,88.74,126.56,119.71,99.72,24.91,27.28,40.84,28.09,21.35,79.26,9.54,61.95,93.0,9.48,119.53,116.33,122.83,118.54,116.4,116.94,113.37,25.55,20.34,35.37,102.1,21.26,28.43,22.77,133.9,28.61,22.04,15.99,35.38,130.11,129.23,126.23,123.55,119.98,26.03,,,32.08,32.57,65.54,23.15,,,,10.27,10.28,28.82,92.57,32.87,28.89,32.86,92.56,,92.58,18.48,37.16,21.45
2012-01-23,35.31,11.72,11.72,11.72,10.62,10.62,10.62,10.62,11.72,13.58,13.58,13.58,10.96,10.96,10.96,10.96,33.91,40.1,,22.54,,,26.37,34.64,26.35,103.1,87.64,52.35,23.26,93.93,23.42,54.55,41.78,41.77,14.98,121.29,121.28,159.47,31.86,7.83,7.82,26.21,16.63,87.99,83.08,,,,26.73,89.05,19.98,85.28,13.2,13.94,17.66,31.61,18.42,27.37,22.14,41.78,33.44,33.44,33.44,27.31,120.51,94.31,20.78,34.11,120.5,22.68,15.95,33.54,29.75,29.75,32.88,21.43,21.43,24.3,30.39,28.16,31.0,24.43,125.06,22.68,27.74,20.73,20.83,102.74,88.76,126.49,119.69,99.83,25.0,27.38,40.82,28.08,21.34,79.21,9.59,62.22,93.4,9.52,119.72,116.38,122.51,118.3,116.42,116.78,113.28,25.56,20.34,35.33,101.97,21.28,28.36,22.71,133.51,28.6,22.02,15.98,35.33,129.8,128.98,126.29,123.5,120.04,26.05,,,31.83,32.59,65.59,23.31,,,,10.35,10.36,28.75,93.24,32.88,28.82,32.87,93.23,,92.96,18.56,37.26,21.43
