Index|TaxManaged|Tax Exempt|Name|Ticker|Geographical|Asset|AssetClass|ExpenseRatio1|SECYield||YTD|1-year|5-year|10-year|Since inception|FundNo|ExpenseRatio|PurchaseFee|RedemptionFee|MorningstarCategory|BestFitIndex|MinInitialPurchase
Y|N|N|Small-Cap Index Institutional Shares|VSCIX|US|Stock|Small-Cap Blend|0.08|1.39||5.89|10.79|18.93|10.12|9.00%(07/07/1997)|857|0.08|0|0|Small Blend|XIUSA0010Y|5,000,000
Y|N|N|Mega Cap Index Institutional Shares|VMCTX|US|Stock|Large-Cap Blend|0.08|1.96||12.87|17.13|16.37|—|8.45%(02/22/2008)|828|0.08|0|0|Large Blend|XIUSA0010W|5,000,000
Y|N|N|Mid-Cap Value Index Admiral|VMVAX|US|Stock|Mid-Cap Value|0.09|1.91||12.25|16.64|—|—|23.59%(09/27/2011)|5835|0.09|0|0|Mid-Cap Value|Russell Mid Cap Value TR USD|10,000
Y|N|N|Small-Cap Value Index Admiral|VSIAX|US|Stock|Small-Cap Value|0.09|1.88||8.52|13.79|—|—|23.48%(09/27/2011)|5860|0.09|0|0|Small Value|XIUSA00116|10,000
Y|N|N|Intermediate-Term Bond Index Admiral Shares|VBILX|US|Bond|Inter-term Investment|0.10|2.48||6.24|4.56|5.77|5.47|5.68%(11/12/2001)|5314|0.10|0|0|Intermediate-Term Bond|XIUSA000C0|10,000
Y|N|N|FTSE All-World ex-US Index Institutional Shares|VFWSX|Global|Stock|International|0.12|—||-1.09|1.23|6.62|—|1.28%(04/30/2007)|881|0.12|0|0|Foreign Large Blend|MSCI ACWI Ex USA NR USD|5,000,000
Y|N|N|S&P 500 Value Index Institutional Shares|VSPVX|US|Stock|Large-Cap Value|0.08|2.37||—|—|—|—|—(09/09/2010)|1840|0.08|0|0|US Stock|Large-Cap Value|5,000,000
Y|N|N|Total International Bond Index Institutional Shares|VTIFX|Global|Bond|International|0.12|1.16||7.24|6.22|—|—|4.74%(05/31/2013)|2011|0.12|0|0|World Bond|--|5,000,000
Y|N|N|Value Index Admiral Shares|VVIAX|US|Stock|Large-Cap Value|0.09|2.38||12.47|16.05|15.96|7.86|5.68%(11/13/2000)|506|0.09|0|0|Large Value|Russell 1000 Value TR USD|10,000
Y|N|N|Small-Cap Index Admiral Shares|VSMAX|US|Stock|Small-Cap Blend|0.09|1.38||5.87|10.79|18.91|10.08|9.26%(11/13/2000)|548|0.09|0|0|Small Blend|XIUSA0010Y|10,000
Y|N|N|Extended Market Index Institutional Shares|VIEIX|US|Stock|Mid-Cap Blend|0.08|1.23||6.00|11.05|18.83|10.22|8.69%(07/07/1997)|856|0.08|0|0|Mid-Cap Blend|S&P MidCap 400 TR|5,000,000
Y|Y|N|Tax-Managed Small-Cap Institutional Shares|VTSIX|US|Stock|Small-Cap Blend|0.08|1.16||3.05|9.51|19.22|9.95|10.62%(04/21/1999)|118|0.08|0|0|Small Blend|Russell 2000 TR USD|5,000,000
Y|N|N|Developed Markets Index Institutional Shares|VTMNX|US|Stock|International|0.07|—||-3.16|0.24|7.01|6.12|4.31%(01/04/2001)|137|0.07|0|0|Foreign Large Blend|MSCI EAFE NR USD|5,000,000
Y|N|N|Mid-Cap Value Index|VMVIX|US|Stock|Mid-Cap Value|0.24|1.77||12.12|16.51|18.77|—|8.78%(08/24/2006)|835|0.24|0|0|Mid-Cap Value|Russell Mid Cap Value TR USD|3,000
