Index,TaxManaged,Tax Exempt,Name,Ticker,Geographical,Asset,AssetClass,ExpenseRatio1,SECYield,,YTD,1-year,5-year,10-year,Since inception,FundNo,ExpenseRatio,PurchaseFee,RedemptionFee
Y,N,N,500 Index,VFINX,US,Stock,Large-Cap Blend,0.17,1.83,B,12.94,17.06,16.52,8.08,"11.09%(08/31/1976)",40,0.17,0,0
Y,N,N,500 Index Admiral Shares,VFIAX,US,Stock,Large-Cap Blend,0.05,1.95,B,13.05,17.21,16.66,8.19,"4.92%(11/13/2000)",540,0.05,0,0
N,N,N,Consumer Discretionary Index Admiral Shares,VCDAX,US,Stock,Consumer,0.14,1.24,B,5.79,9.10,22.70,—,"9.12%(07/14/2005)",5483,0.14,0,0
Y,N,N,Consumer Staples Index Admiral Shares,VCSAX,US,Stock,Consumer,0.14,2.38,B,14.06,13.48,16.35,11.33,"10.63%(01/30/2004)",5484,0.14,0,0
Y,N,N,Developed Markets Index,VDVIX,Developed,Stock,International,0.20,—,,-3.30,—,—,—,"1.12%(12/19/2013)",1397,0.20,0,0
Y,N,N,Developed Markets Index Admiral Shares,VTMGX,Developed,Stock,International,0.09,—,,-3.17,0.15,6.96,6.05,"4.03%(08/17/1999)",127,0.09,0,0
Y,N,N,Developed Markets Index Institutional Plus Shares,VDIPX,Developed,Stock,International,0.06,—,,—,—,—,—,"-3.12%(04/01/2014)",1457,0.06,0,0
Y,N,N,Developed Markets Index Institutional Shares,VTMNX,US,Stock,International,0.07,—,,-3.16,0.24,7.01,6.12,"4.31%(01/04/2001)",137,0.07,0,0
Y,N,N,Dividend Appreciation Index,VDAIX,US,Stock,Large-Cap Blend,0.20,1.91,B,8.97,11.09,14.62,—,"7.55%(04/27/2006)",602,0.20,0,0
Y,N,N,Dividend Appreciation Index Admiral Shares,VDADX,US,Stock,Large-Cap Blend,0.10,2.01,B,9.01,—,—,—,"8.77%(12/19/2013)",5702,0.10,0,0
Y,N,N,Emerging Markets Government Bond Index,VGOVX,Emerging,Bond,Government,0.49,4.53,A,7.26,5.82,—,—,"3.05%(05/31/2013)",1120,0.49,0.75,0
Y,N,N,Emerging Markets Government Bond Index Admiral Shares,VGAVX,Emerging,Bond,Government,0.34,4.68,A,7.34,5.98,—,—,"3.17%(05/31/2013)",520,0.34,0.75,0
Y,N,N,Emerging Markets Government Bond Index Institutional Shares,VGIVX,Emerging,Bond,Government,0.30,4.71,A,—,—,—,—,"—(05/31/2013)",2020,0.30,0.75,0
Y,N,N,Emerging Markets Index Institutional Plus Shares,VEMRX,Emerging,Stock,International,0.10,—,,4.75,3.83,—,—,"0.43%(12/15/2010)",1865,0.10,0,0
Y,N,N,Emerging Markets Stock Index,VEIEX,Emerging,Stock,International,0.33,—,,4.53,3.59,4.92,10.24,"7.21%(05/04/1994)",533,0.33,0,0
Y,N,N,Emerging Markets Stock Index Admiral Shares,VEMAX,Emerging,Stock,International,0.15,—,,4.71,3.79,5.09,—,"6.98%(06/23/2006)",5533,0.15,0,0
Y,N,N,Emerging Markets Stock Index Institutional Shares,VEMIX,Emerging,Stock,International,0.12,—,,4.74,3.85,5.14,10.45,"8.89%(06/22/2000)",239,0.12,0,0
Y,N,N,Energy Index Admiral Shares,VENAX,US,Stock,Sector,0.14,2.19,B,-0.66,2.85,10.87,11.01,"10.58%(10/07/2004)",5480,0.14,0,0
Y,N,N,European Stock Index,VEURX,Developed,Stock,International,0.26,—,,-3.85,-0.73,6.91,6.11,"7.61%(06/18/1990)",79,0.26,0,0
Y,N,N,European Stock Index Admiral Shares,VEUSX,Developed,Stock,International,0.12,—,,-3.74,-0.61,7.05,6.23,"6.12%(08/13/2001)",579,0.12,0,0
Y,N,N,European Stock Index Institutional Plus Shares,VEUPX,Developed,Stock,International,0.08,—,,—,—,—,—,"—(05/17/2013)",1863,0.08,0,0
Y,N,N,European Stock Index Institutional Shares,VESIX,Developed,Stock,International,0.09,—,,-3.74,-0.55,7.09,6.27,"3.98%(05/15/2000)",235,0.09,0,0
Y,N,N,Extended Market Index,VEXMX,US,Stock,Mid-Cap Blend,0.24,1.08,B,5.87,10.88,18.64,10.03,"11.08%(12/21/1987)",98,0.24,0,0
Y,N,N,Extended Market Index Admiral Shares,VEXAX,US,Stock,Mid-Cap Blend,0.10,1.21,B,5.98,11.03,18.80,10.19,"7.86%(11/13/2000)",598,0.10,0,0
Y,N,N,Extended Market Index Institutional Plus Shares,VEMPX,US,Stock,Mid-Cap Blend,0.06,1.25,B,6.03,11.07,—,—,"13.43%(01/14/2011)",1860,0.06,0,0
Y,N,N,Extended Market Index Institutional Shares,VIEIX,US,Stock,Mid-Cap Blend,0.08,1.23,B,6.00,11.05,18.83,10.22,"8.69%(07/07/1997)",856,0.08,0,0
Y,N,N,Financials Index Admiral Shares,VFAIX,US,Stock,Sector,0.19,2.09,B,10.70,16.29,13.52,1.77,"1.89%(02/04/2004)",5486,0.19,0,0
Y,N,N,FTSE All-World ex-US Index,VFWIX,Global,Stock,International,0.30,—,,-1.24,1.05,6.43,—,"1.98%(03/08/2007)",770,0.30,0,0
Y,N,N,FTSE All-World ex-US Index Admiral,VFWAX,Global,Stock,International,0.15,—,,-1.09,1.23,—,—,"10.92%(09/27/2011)",570,0.15,0,0
Y,N,N,FTSE All-World ex-US Index Institutional Plus Shares,VFWPX,Global,Stock,International,0.10,—,,-1.06,1.25,—,—,"4.59%(12/16/2010)",1866,0.10,0,0
Y,N,N,FTSE All-World ex-US Index Institutional Shares,VFWSX,Global,Stock,International,0.12,—,,-1.09,1.23,6.62,—,"1.28%(04/30/2007)",881,0.12,0,0
Y,N,N,FTSE All-World ex-US Small-Cap Index,VFSVX,Global,Stock,International,0.40,—,,-3.15,0.15,7.98,—,"15.08%(04/02/2009)",1684,0.40,0,0
Y,N,N,FTSE All-World ex-US Small-Cap Index Institutional Shares,VFSNX,Global,Stock,International,0.19,—,,-3.00,0.34,8.23,—,"15.34%(04/02/2009)",884,0.19,0,0
Y,N,N,FTSE Social Index,VFTSX,US,Stock,Large-Cap Growth,0.28,1.52,B,13.62,18.59,17.35,7.05,"3.02%(05/31/2000)",213,0.28,0,0
Y,N,N,FTSE Social Index Institutional Shares,VFTNX,US,Stock,Large-Cap Growth,0.16,1.63,B,13.61,18.69,17.51,7.18,"7.94%(01/14/2003)",223,0.16,0,0
Y,N,N,Global ex-U.S. Real Estate Index ,VGXRX,Global,RealEstate,International,0.40,—,,3.62,1.91,—,—,"6.74%(11/01/2010)",738,0.40,0.25,0.25
Y,N,N,Global ex-U.S. Real Estate Index Admiral Shares ,VGRLX,Global,RealEstate,International,0.27,—,,3.73,2.05,—,—,"7.53%(02/10/2011)",1758,0.27,0.25,0.25
Y,N,N,Global ex-U.S. Real Estate Index Institutional Shares ,VGRNX,Global,RealEstate,International,0.24,—,,3.74,2.05,—,—,"7.24%(04/19/2011)",1858,0.24,0.25,0.25
Y,N,N,Growth Index,VIGRX,US,Stock,Large-Cap Growth,0.24,1.09,B,13.07,17.75,17.48,9.10,"9.33%(11/02/1992)",9,0.24,0,0
Y,N,N,Growth Index Admiral Shares,VIGAX,US,Stock,Large-Cap Growth,0.09,1.23,B,13.21,17.93,17.65,9.24,"4.58%(11/13/2000)",509,0.09,0,0
Y,N,N,Growth Index Institutional Shares,VIGIX,US,Stock,Large-Cap Growth,0.08,1.24,B,13.22,17.93,17.67,9.27,"5.63%(05/14/1998)",868,0.08,0,0
Y,N,N,Health Care Index Admiral Shares,VHCIX,US,Stock,Sector,0.14,1.19,B,23.43,29.65,22.11,11.82,"10.09%(02/05/2004)",5485,0.14,0,0
Y,N,N,High Dividend Yield Index,VHDYX,US,Stock,Large-Cap Value,0.19,2.82,B,14.11,16.48,17.13,—,"6.91%(11/16/2006)",623,0.19,0,0
Y,N,N,Industrials Index Admiral Shares,VINAX,US,Stock,Sector,0.14,1.68,B,7.81,13.78,19.29,—,"7.20%(05/08/2006)",5482,0.14,0,0
Y,N,N,Information Technology Index Admiral Shares,VITAX,US,Stock,Sector,0.14,1.25,B,16.97,23.34,16.59,9.55,"8.58%(03/25/2004)",5487,0.14,0,0
Y,N,N,Institutional Index Institutional Plus Shares,VIIIX,US,Stock,Large-Cap Blend,0.02,1.98,B,13.09,17.25,16.69,8.24,"6.69%(07/07/1997)",854,0.02,0,0
Y,N,N,Institutional Index Institutional Shares,VINIX,US,Stock,Large-Cap Blend,0.04,1.96,B,13.06,17.22,16.67,8.21,"9.71%(07/31/1990)",94,0.04,0,0
Y,N,N,Institutional Total Stock Market Index Institutional Plus Shares,VITPX,US,Stock,Large-Cap Blend,0.02,1.84,B,11.83,16.13,17.14,8.81,"6.56%(05/31/2001)",871,0.02,0,0
Y,N,N,Institutional Total Stock Market Index Institutional Shares,VITNX,US,Stock,Large-Cap Blend,0.04,1.82,B,11.79,16.14,17.13,8.79,"7.44%(08/31/2001)",870,0.04,0,0
Y,N,N,Intermediate-Term Bond Index,VBIIX,US,Bond,Inter-term Investment,0.20,2.38,A,6.14,4.45,5.66,5.38,"6.41%(03/01/1994)",314,0.20,0,0
Y,N,N,Intermediate-Term Bond Index Admiral Shares,VBILX,US,Bond,Inter-term Investment,0.10,2.48,A,6.24,4.56,5.77,5.47,"5.68%(11/12/2001)",5314,0.10,0,0
Y,N,N,Intermediate-Term Bond Index Institutional Plus,VBIUX,US,Bond,Inter-term Investment,0.05,2.53,A,6.28,4.61,—,—,"3.95%(11/30/2011)",1874,0.05,0,0
Y,N,N,Intermediate-Term Bond Index Institutional Shares,VBIMX,US,Bond,Inter-term Investment,0.07,2.51,A,6.27,4.59,5.81,—,"6.13%(01/26/2006)",504,0.07,0,0
Y,N,N,Intermediate-Term Corporate Bond Index Admiral Shares,VICSX,US,Bond,Inter-term Investment,0.12,3.13,A,6.61,5.82,—,—,"6.82%(03/02/2010)",1946,0.12,0.25,0
Y,N,N,Intermediate-Term Corporate Bond Index Institutional Shares,VICBX,US,Bond,Inter-term Investment,0.09,3.16,A,6.64,5.86,—,—,"6.94%(11/19/2009)",1646,0.09,0.25,0
